I 11:03:55.110   [MAIN]         SYSTEM STARTING
I 11:03:59.246   [MOTION]       Motion Mode Changed: 0->1
I 11:03:59.249   [MOTION]       Motion-Time Done
I 11:03:59.249   [MOTION]       Motion Mode Changed: 1->0
I 11:03:59.315   [SYSTEM]       PAUSE
I 11:04:00.823   [SYSTEM]       RESUME from PAUSE
I 11:04:01.350   [SYSTEM]       PAUSE
I 11:04:01.985   [SYSTEM]       RESUME from PAUSE
I 11:04:02.058   [SYSTEM]       PAUSE
I 11:04:02.820   [SYSTEM]       RESUME from PAUSE
I 11:04:03.396   [SYSTEM]       PAUSE
I 11:04:04.004   [SYSTEM]       RESUME from PAUSE
I 11:04:04.090   [SYSTEM]       PAUSE
I 11:04:05.490   [SYSTEM]       RESUME from PAUSE
I 11:04:05.514   [SYSTEM]       PAUSE
I 11:04:06.653   [SYSTEM]       RESUME from PAUSE
I 11:04:07.243   [SYSTEM]       PAUSE
I 11:04:07.873   [SYSTEM]       RESUME from PAUSE
I 11:04:08.467   [SYSTEM]       PAUSE
I 11:04:09.037   [SYSTEM]       RESUME from PAUSE
I 11:04:09.577   [SYSTEM]       PAUSE
I 11:04:10.117   [MOTION]       Motion Mode Changed: 0->1
I 11:04:10.117   [SYSTEM]       RESUME from PAUSE
I 11:04:13.345   [MOTION]       Motion-Time Done
I 11:04:13.345   [MOTION]       Motion Mode Changed: 1->0
I 11:04:21.565   [MOTION]       Motion Mode Changed: 0->1
I 11:04:23.567   [MOTION]       Motion-Time Done
I 11:04:23.567   [MOTION]       Motion Mode Changed: 1->0
I 13:22:00.221   [MAIN]         System Version: 1.0.0
I 13:22:01.231   [LAN2CAN]      Succeed to create socket
I 13:22:01.733   [DAEMON]       Succeed to start read thread
I 13:22:01.733   [DAEMON]       Succeed to start real-time thread
I 13:22:05.247   [MAIN]         SYSTEM STARTING
I 13:22:09.727   [MOTION]       Motion Mode Changed: 0->1
I 13:22:09.729   [MOTION]       Motion-Time Done
I 13:22:09.729   [MOTION]       Motion Mode Changed: 1->0
I 13:22:09.826   [SYSTEM]       PAUSE
I 13:22:12.938   [SYSTEM]       RESUME from PAUSE
I 13:22:12.976   [MOTION]       Motion Mode Changed: 0->1
I 13:22:16.169   [MOTION]       Motion-Time Done
I 13:22:16.169   [MOTION]       Motion Mode Changed: 1->0
I 13:22:16.225   [MOTION]       Motion Mode Changed: 0->1
I 13:22:18.227   [MOTION]       Motion-Time Done
I 13:22:18.227   [MOTION]       Motion Mode Changed: 1->0
I 13:22:18.348   [SYSTEM]       PAUSE
I 13:22:22.662   [SYSTEM]       RESUME from PAUSE
I 13:38:09.369   [MOTION]       Motion Mode Changed: 0->1
I 13:38:09.371   [MOTION]       Motion-Time Done
I 13:38:09.371   [MOTION]       Motion Mode Changed: 1->0
I 13:38:09.520   [SYSTEM]       PAUSE
I 13:44:39.217   [MOTION]       Motion Mode Changed: 0->1
I 13:44:39.219   [MOTION]       Motion-Time Done
I 13:44:39.219   [MOTION]       Motion Mode Changed: 1->0
I 13:44:39.399   [SYSTEM]       PAUSE
I 13:44:41.258   [SYSTEM]       RESUME from PAUSE
I 13:44:41.322   [MOTION]       Motion Mode Changed: 0->1
I 13:44:44.491   [MOTION]       Motion-Time Done
I 13:44:44.491   [MOTION]       Motion Mode Changed: 1->0
I 13:44:44.534   [MOTION]       Motion Mode Changed: 0->1
I 13:44:46.537   [MOTION]       Motion-Time Done
I 13:44:46.537   [MOTION]       Motion Mode Changed: 1->0
I 13:46:56.237   [MOTION]       Motion Mode Changed: 0->1
I 13:46:56.239   [MOTION]       Motion-Time Done
I 13:46:56.239   [MOTION]       Motion Mode Changed: 1->0
I 13:46:56.374   [SYSTEM]       PAUSE
I 13:46:57.772   [SYSTEM]       RESUME from PAUSE
I 13:46:57.822   [MOTION]       Motion Mode Changed: 0->1
I 13:47:01.003   [MOTION]       Motion-Time Done
I 13:47:01.003   [MOTION]       Motion Mode Changed: 1->0
I 13:47:01.076   [MOTION]       Motion Mode Changed: 0->1
I 13:47:03.079   [MOTION]       Motion-Time Done
I 13:47:03.079   [MOTION]       Motion Mode Changed: 1->0
I 13:52:20.659   [MOTION]       Motion Mode Changed: 0->1
I 13:52:20.661   [MOTION]       Motion-Time Done
I 13:52:20.661   [MOTION]       Motion Mode Changed: 1->0
I 13:52:20.830   [SYSTEM]       PAUSE
I 13:52:23.023   [SYSTEM]       RESUME from PAUSE
I 13:52:23.081   [MOTION]       Motion Mode Changed: 0->1
I 13:52:26.255   [MOTION]       Motion-Time Done
I 13:52:26.255   [MOTION]       Motion Mode Changed: 1->0
I 13:52:26.305   [MOTION]       Motion Mode Changed: 0->1
I 13:52:28.307   [MOTION]       Motion-Time Done
I 13:52:28.307   [MOTION]       Motion Mode Changed: 1->0
I 13:53:47.097   [MOTION]       Motion Mode Changed: 0->1
I 13:53:47.099   [MOTION]       Motion-Time Done
I 13:53:47.099   [MOTION]       Motion Mode Changed: 1->0
I 13:53:47.219   [SYSTEM]       PAUSE
I 13:53:48.281   [SYSTEM]       RESUME from PAUSE
I 13:53:48.326   [MOTION]       Motion Mode Changed: 0->1
I 13:53:51.513   [MOTION]       Motion-Time Done
I 13:53:51.513   [MOTION]       Motion Mode Changed: 1->0
I 13:53:51.567   [MOTION]       Motion Mode Changed: 0->1
I 13:53:53.569   [MOTION]       Motion-Time Done
I 13:53:53.569   [MOTION]       Motion Mode Changed: 1->0
I 13:54:54.827   [MOTION]       Motion Mode Changed: 0->1
I 13:54:54.829   [MOTION]       Motion-Time Done
I 13:54:54.829   [MOTION]       Motion Mode Changed: 1->0
I 13:54:54.950   [SYSTEM]       PAUSE
