I 17:00:46.145   [MOTION]       Motion-Time Done
I 17:00:46.145   [MOTION]       Motion Mode Changed: 1->0
I 17:00:46.784   [MOTION]       Motion Mode Changed: 0->1
I 17:00:46.787   [MOTION]       Motion-Time Done
I 17:00:46.787   [MOTION]       Motion Mode Changed: 1->0
I 17:00:46.843   [MOTION]       Motion Mode Changed: 0->1
I 17:00:46.845   [MOTION]       Motion-Time Done
I 17:00:46.845   [MOTION]       Motion Mode Changed: 1->0
I 17:02:36.135   [MOTION]       Motion Mode Changed: 0->1
I 17:02:36.137   [MOTION]       Motion-Time Done
I 17:02:36.137   [MOTION]       Motion Mode Changed: 1->0
I 17:02:36.153   [MOTION]       Motion Mode Changed: 0->1
I 17:02:36.155   [MOTION]       Motion-Time Done
I 17:02:36.155   [MOTION]       Motion Mode Changed: 1->0
I 17:02:36.229   [MOTION]       Motion Mode Changed: 0->1
I 17:02:36.231   [MOTION]       Motion-Time Done
I 17:02:36.231   [MOTION]       Motion Mode Changed: 1->0
I 17:02:36.252   [MOTION]       Motion Mode Changed: 0->1
I 17:02:36.255   [MOTION]       Motion-Time Done
I 17:02:36.255   [MOTION]       Motion Mode Changed: 1->0
I 17:03:44.566   [MOTION]       Motion Mode Changed: 0->1
I 17:03:45.612   [SYSTEM]       PAUSE
I 17:03:49.618   [SYSTEM]       RESUME from PAUSE
I 17:03:50.857   [MOTION]       Motion-Time Done
I 17:03:50.857   [MOTION]       Motion Mode Changed: 1->0
I 17:03:50.925   [MOTION]       Motion Mode Changed: 0->1
I 17:03:52.941   [MOTION]       Motion-Time Done
I 17:03:52.941   [MOTION]       Motion Mode Changed: 1->0
I 17:03:52.964   [MOTION]       Motion Mode Changed: 0->1
I 17:03:54.967   [MOTION]       Motion-Time Done
I 17:03:54.967   [MOTION]       Motion Mode Changed: 1->0
I 17:03:55.018   [MOTION]       Motion Mode Changed: 0->1
I 17:03:57.021   [MOTION]       Motion-Time Done
I 17:03:57.021   [MOTION]       Motion Mode Changed: 1->0
I 17:03:57.072   [MOTION]       Motion Mode Changed: 0->1
I 17:03:59.075   [MOTION]       Motion-Time Done
I 17:03:59.075   [MOTION]       Motion Mode Changed: 1->0
I 17:03:59.456   [MOTION]       Motion Mode Changed: 0->1
I 17:04:01.459   [MOTION]       Motion-Time Done
I 17:04:01.459   [MOTION]       Motion Mode Changed: 1->0
I 17:04:01.480   [MOTION]       Motion Mode Changed: 0->1
I 17:04:03.483   [MOTION]       Motion-Time Done
I 17:04:03.483   [MOTION]       Motion Mode Changed: 1->0
I 17:04:03.736   [MOTION]       Motion Mode Changed: 0->1
I 17:04:05.739   [MOTION]       Motion-Time Done
I 17:04:05.739   [MOTION]       Motion Mode Changed: 1->0
I 17:06:10.396   [MOTION]       Motion Mode Changed: 0->1
I 17:06:10.399   [MOTION]       Motion-Time Done
I 17:06:10.399   [MOTION]       Motion Mode Changed: 1->0
I 17:06:10.421   [MOTION]       Motion Mode Changed: 0->1
I 17:06:10.423   [MOTION]       Motion-Time Done
I 17:06:10.423   [MOTION]       Motion Mode Changed: 1->0
I 17:06:10.427   [MOTION]       Motion Mode Changed: 0->1
I 17:06:10.429   [MOTION]       Motion-Time Done
I 17:06:10.429   [MOTION]       Motion Mode Changed: 1->0
I 17:06:10.481   [MOTION]       Motion Mode Changed: 0->1
I 17:06:10.483   [MOTION]       Motion-Time Done
I 17:06:10.483   [MOTION]       Motion Mode Changed: 1->0
I 17:10:48.955   [MOTION]       Motion Mode Changed: 0->1
I 17:10:48.957   [MOTION]       Motion-Time Done
I 17:10:48.957   [MOTION]       Motion Mode Changed: 1->0
I 17:10:49.008   [MOTION]       Motion Mode Changed: 0->1
W 17:10:49.042   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:10:51.011   [MOTION]       Motion-Time Done
I 17:10:51.011   [MOTION]       Motion Mode Changed: 1->0
I 17:10:51.063   [MOTION]       Motion Mode Changed: 0->1
W 17:10:51.064   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:10:51.067   [MOTION]       Motion-Time Done
I 17:10:51.067   [MOTION]       Motion Mode Changed: 1->0
I 17:10:51.100   [MOTION]       Motion Mode Changed: 0->1
I 17:10:51.103   [MOTION]       Motion-Time Done
I 17:10:51.103   [MOTION]       Motion Mode Changed: 1->0
I 17:10:51.109   [MOTION]       Motion Mode Changed: 0->1
I 17:10:53.111   [MOTION]       Motion-Time Done
I 17:10:53.111   [MOTION]       Motion Mode Changed: 1->0
I 17:10:53.180   [MOTION]       Motion Mode Changed: 0->1
I 17:10:55.183   [MOTION]       Motion-Time Done
I 17:10:55.183   [MOTION]       Motion Mode Changed: 1->0
I 17:11:35.359   [MOTION]       Motion Mode Changed: 0->1
W 17:11:35.359   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:11:37.361   [MOTION]       Motion-Time Done
I 17:11:37.361   [MOTION]       Motion Mode Changed: 1->0
I 17:11:37.427   [MOTION]       Motion Mode Changed: 0->1
W 17:11:37.427   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:11:39.429   [MOTION]       Motion-Time Done
I 17:11:39.429   [MOTION]       Motion Mode Changed: 1->0
I 17:11:39.499   [MOTION]       Motion Mode Changed: 0->1
W 17:11:39.499   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:11:41.501   [MOTION]       Motion-Time Done
I 17:11:41.501   [MOTION]       Motion Mode Changed: 1->0
I 17:11:41.829   [MOTION]       Motion Mode Changed: 0->1
W 17:11:41.829   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:11:43.831   [MOTION]       Motion-Time Done
I 17:11:43.831   [MOTION]       Motion Mode Changed: 1->0
I 17:12:28.546   [MOTION]       Motion Mode Changed: 0->1
I 17:12:28.549   [MOTION]       Motion-Time Done
I 17:12:28.549   [MOTION]       Motion Mode Changed: 1->0
I 17:12:28.551   [MOTION]       Motion Mode Changed: 0->1
I 17:12:28.555   [MOTION]       Motion-Time Done
I 17:12:28.555   [MOTION]       Motion Mode Changed: 1->0
I 17:12:28.609   [MOTION]       Motion Mode Changed: 0->1
W 17:12:28.609   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:12:30.611   [MOTION]       Motion-Time Done
I 17:12:30.611   [MOTION]       Motion Mode Changed: 1->0
I 17:12:30.657   [MOTION]       Motion Mode Changed: 0->1
W 17:12:30.657   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:12:32.661   [MOTION]       Motion-Time Done
I 17:12:32.661   [MOTION]       Motion Mode Changed: 1->0
I 17:12:32.727   [MOTION]       Motion Mode Changed: 0->1
W 17:12:32.727   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:12:34.729   [MOTION]       Motion-Time Done
I 17:12:34.729   [MOTION]       Motion Mode Changed: 1->0
I 17:12:43.669   [MOTION]       Motion Mode Changed: 0->1
W 17:12:43.669   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:12:45.671   [MOTION]       Motion-Time Done
